_c0,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,latitude,longitude,City
74,5306,49,55,8136.98,4,4,4,444,1,5306,2022-11-01,FAS MART # 5159/ DUBUQUE,A,2175 CENTRAL AVENUE,IA,52001,42.512915,-90.670952,DUBUQUE
75,6069,0,114,7530.79,1,4,4,144,1,6069,2022-11-01,BIG 10 MART #12 / DUBUQUE,A,405 RHOMBERG,IA,52001,42.512569,-90.66619,DUBUQUE
76,5412,27,276,38880.17,4,3,3,433,1,5412,2022-11-01,CASEY'S GENERAL STORE # 1029/ TAMA,A,1207 STATE STREET,IA,52339,41.970558,-92.576837,TAMA
77,5170,13,171,26531.34,4,4,4,444,1,5170,2022-11-01,CASEY'S GENERAL STORE #1414  / STATE,A,911 3RD  AVE SW,IA,50247,42.009066,-93.165186,STATE CENTER
78,2720,0,227,21087.13,1,4,4,144,1,2720,2022-11-01,HY-VEE GAS #3 / WDM,A,7280 UNIVERSITY AVE,IA,50266,41.600395,-93.807442,WEST DES MOINES
79,4856,0,383,40981.54,1,3,3,133,1,4856,2022-11-01,BROTHERS MARKET / LISBON,A,930 COMMERCIAL ST,IA,52253,41.918663,-91.401063,LISBON
80,2545,5,3942,494966.73,2,1,1,211,0,2545,2022-11-01,HY-VEE DRUGSTORE / IOWA CITY,A,310 N 1ST ST,IA,52245,42.207428,-91.528105,IOWA CITY
81,5352,6,609,71198.3,3,2,2,322,1,5352,2022-11-01,CASEY'S GENERAL STORE # 3565/ TRIPOLI,A,600 7TH AVE,IA,50676,,,TRIPOLI
82,5859,4,1759,263836.25,2,1,1,211,1,5859,2022-11-01,LIQUOR TOBACCO & GROCERY - MASON CITY,A,18 NORTH MONROE AVENUE,IA,50401,43.152301,-93.208614,MASON CITY
83,4205,6,898,127332.38,3,2,2,322,1,4205,2022-11-01,FAREWAY STORES #467 / MARSHALLTOWN,A,102 WEST ANSON ST,IA,50158,42.038157,-92.914475,MARSHALLTOWN
84,5041,3,536,53539.75,1,3,3,133,1,5041,2022-11-01,CASEY'S GENERAL STORE #3309 / MONTEZ,A,106 N FRONT ST,IA,50171,41.58587,-92.52723,MONTEZUMA
85,5497,13,226,38280.45,4,4,3,443,1,5497,2022-11-01,CASEY'S GENERAL STORE #3617 / GRINNELL,A,635 LANG CREEK AVE,IA,50112,41.699636,-92.725708,GRINNELL
86,5377,0,312,40525.4,1,3,3,133,1,5377,2022-11-01,CASEY'S GENERAL STORE # 2517/ ROCKWELL CITY,A,627 HIGH ST.,IA,50579,42.398728,-94.637172,ROCKWELL CITY
87,5179,13,352,32933.04,4,3,3,433,1,5179,2022-11-01,BAXTER FAMILY MARKET,A,"103, N  MAIN ST",IA,50028,41.826717,-93.151465,BAXTER
88,5799,7,224,30277.97,3,4,4,344,1,5799,2022-11-01,CASEY'S GENERAL STORE #2472 / NICHOLS,A,1334 HWY 22,IA,52766,41.481091,-91.304108,NICHOLS
89,4730,4,458,51637.26,2,3,3,233,1,4730,2022-11-01,WALGREENS #05944 / JOHNSTON,A,6200 MERLE HAY RD,IA,50131,41.673354,-93.697684,JOHNSTON
90,5096,20,257,43890.98,4,4,3,443,1,5096,2022-11-01,WALGREENS #11710 / NORTH LIBERTY,A,625 PACHA PARKWAY,IA,52317,41.752694,-91.606275,NORTH LIBERTY
91,4884,6,1122,114589.03,3,2,2,322,1,4884,2022-11-01,TOBACCO HUT #11 / SIOUX CITY,A,"4523, MORNINGSIDE AVE",IA,51106,42.470479,-96.348659,SIOUX CITY
92,5656,0,840,139711.44,1,2,2,122,1,5656,2022-11-01,CODY MART GAS & LIQUOR,A,1220 N CODY RD,IA,52753,41.611036,-90.34429,LE CLAIRE
93,6121,6,1185,144681.43,3,2,2,322,1,6121,2022-11-01,LIQUOR TOBACCO & VAPE / MANCHESTER,A,316 E MAIN ST,IA,52057,42.484002,-91.454385,MANCHESTER
94,6019,5,1433,140628.91,2,1,2,212,1,6019,2022-11-01,CASEY'S GENERAL STORE #3888 / ANKENY,A,1024 E 1ST ST,IA,50021,41.731949,-93.581708,ANKENY
95,4369,10,872,64364.47,3,2,2,322,1,4369,2022-11-01,KUM & GO #28 / NORWALK,A,2991 SUNSET DR,IA,50211,41.496707,-93.674221,NORWALK
96,4740,31,209,42594.9,4,4,3,443,1,4740,2022-11-01,WALGREENS #04405 / COUNCIL BLUFFS,A,2508 W BROADWAY,IA,51501,41.261941,-95.882784,COUNCIL BLUFFS
97,6300,18,454,25515.06,4,3,4,434,1,6300,2022-11-01,SOUTHGATE WINE & SPIRITS / AMES,A,110 AIRPORT ROAD,IA,50010,42.000991,-93.610715,AMES
98,5965,24,175,20210.71,4,4,4,444,1,5965,2022-11-01,CASEY'S GENERAL STORE #1499 / CHARITON,A,418 S. 7TH ST,IA,50049,41.010221,-93.303463,CHARITON
99,5829,6,452,66662.73,3,3,2,332,1,5829,2022-11-01,CASEY'S GENERAL STORE #3858 - IOWA CITY,A,370 SCOTT CT,IA,52245,41.657452,-91.482149,IOWA CITY
100,5802,39,502,43808.74,4,3,3,433,1,5802,2022-11-01,CASEY'S GENERAL STORE #3718 / PLEASANT HILL,A,1175 NE 75TH ST,IA,50327,41.599814,-93.455006,PLEASANT HILL
101,5458,6,212,40396.28,3,4,3,343,1,5458,2022-11-01,R&L FOODS,A,213 MAIN ST.,IA,51235,43.279316,-96.234214,DOON
102,5059,3,440,35330.37,1,3,3,133,1,5059,2022-11-01,CASEY'S GENERAL STORE #1125 / HUMEST,A,207 FRONT ST,IA,50123,40.860016,-93.499475,HUMESTON
103,4546,35,163,23574.04,4,4,4,444,1,4546,2022-11-01,CASEY'S GENERAL STORE #2303 / GLIDDEN,A,705 IDAHO ST,IA,51443,42.063817,-94.728981,GLIDDEN
104,6147,4,1699,250933.13,2,1,1,211,1,6147,2022-11-01,BANI'S / CEDAR FALLS,A,2128 COLLEGE ST,IA,50613,42.518019,-92.455801,CEDAR FALLS
105,5546,0,451,36929.82,1,3,3,133,1,5546,2022-11-01,CASEY'S GENERAL STORE #2341 / NEWTON,A,3104 1ST AVE E,IA,50208,41.699186,-93.013639,NEWTON
106,6104,7,265,43343.95,3,3,3,333,1,6104,2022-11-01,BREW OIL #33 / STORM LAKE,A,1201 LAKESHORE DR,IA,50588,,,STORM LAKE
